Package name,Reviewer name,Review,Rating
com.siwalusoftware.guesswhat,joyce head,Been playing for a while and I truly enjoy it. I recently had a glitch and I reached out to the developer and I was so impressed and appreciative that I was given the absolute best assistance ever. They were in constant contact with me and tried different remedies until the problem was fixed. Great experience overall. 👍👏,4
com.siwalusoftware.guesswhat,MD Smith,"Needs more players This game could be SO AMAZING if the public version consisted of more than 3 players! Guessers really need more than just 2 clues to have a reasonable chance to guess correctly when the possibilities are endless for what the secret word might be. Somewhat similar to my favorite-of-all-time game ""word riot"" that was like ""password"" TV game, but in teams.",4
com.siwalusoftware.guesswhat,Vishal Bajaj,It's really amazing,5
com.siwalusoftware.guesswhat,Glenn,It sucks big time I wish I could give it a negative 10 that is how bad it is save yourself the time and don't bother downloading,1
com.siwalusoftware.guesswhat,Krystle Heffner,"Scratches the word association itch I have, which I can hardly find any phone games for. Reminds me of the board game Just One.",5
com.siwalusoftware.guesswhat,Veronica Neika Arnold,This game is horrible. It keeps stopping and freezing up. Basically it Sucks!!!,1
com.siwalusoftware.guesswhat,Tanisa Tabassum,"Fun but not so user friendly, should be more functional",3
com.siwalusoftware.guesswhat,Ritaتنj ehab,It's really exciting when you are travelling,5
com.siwalusoftware.guesswhat,QUEEN of THE BEAN,great game when you get the hang of it just keep guessing till u get it,5
com.siwalusoftware.guesswhat,Ms. “Buggy” Desco,I love playing this game. Play it for hours an drink my coffee ☕ in the AM,5
com.siwalusoftware.guesswhat,Hannah Mai Ĺew,It is really hard to figure it out,1
com.siwalusoftware.guesswhat,Farzana Sattar,idea is good .concept can improve,2
com.siwalusoftware.guesswhat,absar haider,I give this game a five star ✨✨✨,5
com.siwalusoftware.guesswhat,Mesal Love,Better than any other games,5
com.siwalusoftware.guesswhat,Rajendran Thiraviam,exceptionally a fantastic game app,5
com.siwalusoftware.guesswhat,Mini Uneek,it is not cleAR,1
com.siwalusoftware.guesswhat,Thabang Nkabinde,it is not playing,1
com.siwalusoftware.guesswhat,Rabije Hasani,e and I have been working on the project management and project management project to help me with the project management project and I have been working with various other companies for expansion and management of projects to work on and I have been,5
com.siwalusoftware.guesswhat,Monika Mannu,Nice app,5
com.siwalusoftware.guesswhat,Charles Kelly,Thank you,5
com.siwalusoftware.guesswhat,Muhammet Guchgeldiyev,Great game!,5
com.siwalusoftware.guesswhat,Nishtha Malvankar,boring,1
com.siwalusoftware.guesswhat,Salih Amin,i hate it,1
com.siwalusoftware.guesswhat,Khris edward Magsino,Like,5
