Package name,Reviewer name,Review,Rating
com.wb.headsup,Nick B,The game is amazing HOWEVER the home page is terrible!! It used to be good. I own every expansion (100+) but there is just a single line that only allows you to see 3 at a time!?! Why?? You used to be able to see way more. This makes finding what one you want to play almost impossible especially if you just want to scroll through them. Will change rating to 5 stars once this is fixed.,2
com.wb.headsup,Michael Bauman,"The newest patches make the game very responsive and playable again. But I can only give 4 stars based on the terrible interface used to select a deck. There are no categories for sorting the decks, no grid system to look at the decks, just a massively long single scroll wheel, while an advert takes up 75% of the screen. That's just not acceptable in this age of apps. The interface punishes the people who paid more money, by increasing the time spent finding a deck and loading the game.",4
com.wb.headsup,Amy Anderson,"I can't get the app to start. It just sits on the Heads Up screen with the loading ring filled in about 1/8 of the way. To add to the frustration, every once in awhile after it tries to load for several minutes without any progress, a message will pop up saying that it needs internet to work. This happens when my Wi-Fi is at full strength. This app cost me a fortune and is unusable. I've tried uninstalling and reinstalling, nothing gets it to work. Please fix it!!",1
com.wb.headsup,Dawneisha Hill,"I had the game on my phone for almost 2 years. It was awesome when first downloaded... BUT It has not been working since Fall 2019. At first, it would freeze or close out, now it does not go past the loading screen. I uninstalled it and reinstalled it. It loads like it going start then completely closes when reaches 100%. I'm uninstalling the app. It's worthless.",1
com.wb.headsup,Tikka Kids,"Played this on a friend's iPhone and was a lot of fun. got it on my Android and the first few times I opened it, it slowly loaded the wheel, and as soon as it loaded, it would kick me out. I was about to delete it when I tried again and it worked. Everything was EXTREMELY slow, and I never even got to try a deck it was freezing and lagging so much. I shut off my phone and turned it back on, and it made my entire phone slow if it was open, even if I wasn't playing it. Fun game if/when it works.",1
com.wb.headsup,A Google user,"This is a great game, especially for groups of 5 or 6. The only problem is the controls. The game uses gyro controls as inputs, and they DON'T WORK. If two big buttons were added, one for correct and one for pass, it would be SO much easier. The terrible controls are the only thing keeping me from leaving a five star review. Please, just add buttons!",3
com.wb.headsup,A Google user,the game is fine even though they've taken a very old concept for a game and made it seem like they completely reinvented it themselves. The main problem with the game is it they want you to complete a set of multiple things back to back though their voice recognition is trash. additionally they activate video replay for every minute that you're playing. So if you wanted to you could rewind to whoever is trying to give you clues about the names and watch them over and over again. but the biggest gripe I have is the fact that if you're trying to actually play the game correctly seldom does it actually recognize your voice and contribute that as an actual answer. you're best off finding a list of a hundred and printing them off and then cutting them into little bits and then guessing them from there. This game needs a lot of work.,1
com.wb.headsup,A Google user,"What happened? I have has the game on other phones and it worked without issues. Now, it won't load. If it loads, it crashes. I have downloaded it on two different cells in the last days, with no luck. I have uninstalled, rebooted my cell, and reinstalled. Can't seem to get it to work. Also, it would be great to be able to access desks we've preciously purchased, when playing HeadsUp on Houseparty. Hope you fix the app soon. We really enjoy playing.",1
com.wb.headsup,Andrew MacLaine,"So fun! Even with only 2 people it's awesome, but more silly in a group! As for the ""crashing"" in the reviews, I realized *WHEN PLAYING, YOU MUST HOLD YOUR DEVICE BY THE SIDES ONLY!!* Accidentally touching your screen (easy to do because you're not looking) can send a command to go to your home screen! It has nothing to do with an app error.",5
com.wb.headsup,A Google user,"I had this on my previous phone, Samsung Galaxy 6, but in my new phone, Pixel 4, it crashes on opening. It literally will start to open and then immediately closes/crashes. It's one of our families favorite games. So bummed it's no longer working. I've purchased several add on decks and would love to get it working. Please fix the bugs.",1
